"WFD_ID","WFD_VERSION","NAME","family_folder","file_name","relative_path","compressed_bytes","decompressed_bytes","preamble_bytes","data_id","mod_date","edited_by","status","error"
"794","24","FA_CLIENTS_EMAIL","01_FA_CLIENTS","FA_CLIENTS_EMAIL__v024.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_EMAIL__v024.bpml.xml","1756","11942","7","FA-INT-APPP:node1:19114217150:34346341","8/13/2024 2:37:34 PM","rbmakram","OK",""
"828","8","FA_CLIENTS_ENCOUNTER_ID","01_FA_CLIENTS","FA_CLIENTS_ENCOUNTER_ID__v008.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_ENCOUNTER_ID__v008.bpml.xml","935","3705","7","FA-INT-APPP:node1:19aafce82c2:38405311","11/26/2025 7:55:43 AM","rbmakram","OK",""
"829","2","FA_CLIENTS_ENCOUNTER_LOAD","01_FA_CLIENTS","FA_CLIENTS_ENCOUNTER_LOAD__v002.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_ENCOUNTER_LOAD__v002.bpml.xml","739","2953","7","FA-INT-APPP:node1:18c4b3db757:15383084","12/28/2023 9:41:12 AM","rbmakram","OK",""
"812","1","FA_CLIENTS_ETL_CALL","01_FA_CLIENTS","FA_CLIENTS_ETL_CALL__v001.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_ETL_CALL__v001.bpml.xml","1380","7130","7","FA-INT-APPP:node1:17bfc72d892:313473","9/22/2021 10:36:12 AM","rbmakram","OK",""
"810","3","FA_CLIENTS_FILE_MERGE","01_FA_CLIENTS","FA_CLIENTS_FILE_MERGE__v003.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_FILE_MERGE__v003.bpml.xml","1560","9053","7","FA-INT-APPP:node1:17d1cd2abcd:248832","11/16/2021 10:22:46 AM","rbmakram","OK",""
"796","37","FA_CLIENTS_GET_DOCS","01_FA_CLIENTS","FA_CLIENTS_GET_DOCS__v037.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_GET_DOCS__v037.bpml.xml","2774","21720","7","FA-INT-APPP:node1:192cee0056d:205782267","1/20/2025 8:42:00 AM","rbmakram","OK",""
"797","19","FA_CLIENTS_GET_LIST","01_FA_CLIENTS","FA_CLIENTS_GET_LIST__v019.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_GET_LIST__v019.bpml.xml","1715","11948","7","FA-INT-APPP:node1:18bd32a27dd:15254879","12/5/2023 2:44:18 PM","rbmakram","OK",""
"1034","2","FA_CLIENTS_GROUP_KEYS_SP","01_FA_CLIENTS","FA_CLIENTS_GROUP_KEYS_SP__v002.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_GROUP_KEYS_SP__v002.bpml.xml","353","730","7","FA-INT-APPP:node1:188ccaa885b:5690713","6/22/2023 10:38:12 AM","rbmakram","OK",""
"1499","1","FA_CLIENTS_INVALID_ACCOUNTS_OB_EOBD_D2S_RPT","01_FA_CLIENTS","FA_CLIENTS_INVALID_ACCOUNTS_OB_EOBD_D2S_RPT__v001.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_INVALID_ACCOUNTS_OB_EOBD_D2S_RPT__v001.bpml.xml","331","868","7","FA-INT-APPP:node1:1996f9f3ceb:58804180","10/10/2025 5:52:55 AM","vxbandekar","OK",""
"821","4","FA_CLIENTS_JIRA_TICKETS","01_FA_CLIENTS","FA_CLIENTS_JIRA_TICKETS__v004.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_JIRA_TICKETS__v004.bpml.xml","1368","5613","7","FA-INT-APPP:node1:17e6a036ee8:190488","1/19/2022 9:20:09 AM","rbmakram","OK",""
