SSH_KHOST_KEY	68	0	0
EB_ORD_TYPE	63	0	0
SCI_SUBGROUP_LIST	61	0	0
ADAPTER_IMPL	59	0	0
YFS_USER	53	0	0
YFS_PERSON_INFO	53	0	0
YFS_USER_GROUP	51	0	0
USER_PREF	49	0	0
CEB_FILE_FORMAT	47	0	0
EB_FILE_FORMAT	47	0	0
PWD_HISTORY	43	0	0
MODELER_PALETTES	43	0	0
RPT_CONFIG_VERSION	37	0	0
SI_VERSION	32	0	0
CEB_SYS_PROP	30	0	0
BPMV_TM_WRK	24	0	0
DEPRECATED_RES	24	0	0
EXT_RULE_LIB	24	0	0
WF_INST_S_WRK	24	0	0
YFS_BASE_COMMON_CODE	23	0	0
JETSPEED_USER_PF	22	0	0
UI_BRANDING	20	0	0
UI_BRANDING_FILE_CONTENTS	20	0	0
YFS_AGENT_CRITERIA_TEMPLATE	16	0	0
TURBINE_PERMISSION	16	0	0
CERTS_AND_PRI_KEY	16	0	0
TURBINE_ROLE_PERM	15	0	0
YFS_LOCALE	15	0	0
YFS_TRANSACTION	12	0	0
CUSTOM_PROPERTY	12	0	0
FG_P_FLR_PRM_TYPE	12	0	0
ALERTER_CHECKWF	11	0	0
YFS_USER_EXIT	10	0	0
YFS_TRAN_USER_EXIT	9	0	0
ID_TABLE	9	0	0
TURBINE_USR_GRP_RL	9	0	0
SSH_KEY_PAIR	9	0	0
MBX_MAILBOX	9	0	0
FG_C_FLR_PRM_TYPE	8	0	0
SCI_B2B_WORKFLOW	7	0	0
YFS_BASE_PURGE_CRITERIA	7	0	0
TURBINE_ROLE	6	0	0
SCI_USER_EXIT	6	0	0
FG_P_FLR_TYPE	6	0	0
FG_C_FLR_TYPE	6	0	0
CUSTOM_SFG_EXTENSIONS	6	0	0
BUSRULE	6	0	0
CUSTOM_PROPERTY_FILE	4	0	0
LC_DATA	4	0	0
TURBINE_GROUP	4	0	0
ROLES	4	0	0
DEPRECATED_EXCLUSIONS	4	0	0
YFS_EVENT	4	0	0
YFS_ROLE	3	0	0
SCHEDULETYPE	3	0	0
MBX_ACTION	3	0	0
MBX_MATCH_MBX	3	0	0
MBX_NEW_PROC_ACT	3	0	0
MBX_PATTERN	3	0	0
MBX_RULE	3	0	0
MBX_RULE_DESCR	3	0	0
YFS_APPLICATION_MENU	3	0	0
BUSRULE_VERSIONS	3	0	0
CD_CKPT_PROC_GUID	2	0	0
ALERTER_DEF	2	0	0
ALERTER_FILTER	2	0	0
ALERTER_FILT_XREF	2	0	0
AFT_EXTENSIONS	2	0	0
AFT_EXTENSION_OPTIONS	2	0	0
AFT_PROPERTIES	2	0	0
INIT_LOG	2	0	0
YFS_BASE_DOCUMENT_PARAMS	2	0	0
SCI_USER_EXIT_CHAIN	2	0	0
PGP_PUBLIC_KEY	2	0	0
YFS_USER_EXIT_IMPL	2	0	0
YFS_DOCUMENT_PARAMS	2	0	0
YFS_INSTALL_DEFAULTS	1	0	0
YFS_PROCESS_TYPE	1	0	0
YFS_ORG_ENTERPRISE	1	0	0
YFS_OBJECT_LOCK	1	0	0
YFS_ORGANIZATION	1	0	0
YFS_BASE_PROCESS_TYPE	1	0	0
PGP_PROFILE	1	0	0
PWD_POLICY	1	0	0
RAW_CA_CERTIFICATE	1	0	0
PRODUCT_IDENTITY	1	0	0
MESSAGES	1	0	0
PEER	1	0	0
PEER_GROUP	1	0	0
