-- ========================
-- 6A
-- ========================
WFD_ID	NAME	latest_WFD_VERSION	version_count	latest_version_mod_date	latest_version_edited_by	DESCRIPTION	family	suffix_code	direction	instances_30d	instances_7d	instances_48h	instances_live	instances_restore	runs_status_0	runs_status_1	runs_status_other	is_active_30d	distinct_versions_seen_running	distinct_nodes_seen	earliest_start_30d	latest_start_30d	avg_duration_seconds	max_duration_seconds	velocity_tier	wfd_status	wfd_type	PERSISTENCE_LEVEL	RECOVERY_LEVEL	ONFAULT	DOCTRACKING	EVENT_LEVEL	CATEGORY	ENCODING	LIFE_SPAN	REMOVAL_METHOD
330	Schedule_MessagePurge	1	1	2021-03-23 09:08:52.437	NULL	Schedule_MessagePurge	Schedule	NULL	NULL	240	96	96	96	144	240	0	0	1	1	1	2026-03-27 02:06:13.843	2026-04-24 10:45:48.213	2.975000	342	Tier 3 (scheduled puller/pusher)	1	101	3	3	false	false	2	NULL	NULL	-1	-1
12	Recover.bpml	2	2	2021-03-23 09:23:49.057	NULL	created via command line	Sterling_Infra	NULL	NULL	160	64	64	64	96	160	0	0	1	1	1	2026-03-27 02:06:09.903	2026-04-24 10:15:55.307	7.168750	1003	Tier 3 (scheduled puller/pusher)	1	103	0	3	false	false	2	NULL	NULL	-1	-1
5	Schedule_BPRecovery	1	1	2021-03-23 08:59:33.320	NULL	Schedule_BPRecovery	Schedule	NULL	NULL	160	64	64	64	96	160	0	0	1	1	1	2026-03-27 02:06:09.903	2026-04-24 10:15:55.230	4.762500	401	Tier 3 (scheduled puller/pusher)	1	101	3	3	false	false	2	NULL	NULL	-1	-1
821	FA_CLIENTS_JIRA_TICKETS	4	4	2022-01-19 09:20:09.493	rbmakram	Send tickets from the current hour	FA_CLIENTS	NULL	NULL	120	48	48	48	72	120	0	0	1	1	1	2026-03-27 02:30:00.343	2026-04-24 10:30:00.753	3.891666	22	Tier 3 (scheduled puller/pusher)	1	1	0	3	false	false	2	NULL	None	-1	0
1403	FA_FROM_REVSPRING_SIMPLE_EMAIL	1	1	2025-01-17 05:33:21.433	glgaonkar	IBM-658 revspring simple email	FA_FROM	EMAIL	inbound	95	38	38	38	57	95	0	0	1	1	1	2026-03-27 05:35:00.477	2026-04-24 10:35:00.547	17.673684	422	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
797	FA_CLIENTS_GET_LIST	19	19	2023-12-05 14:44:18.000	rbmakram	ADD - FINISH TIME TO BATCH TABLE	FA_CLIENTS	NULL	NULL	85	32	32	32	53	85	0	0	1	1	1	2026-03-27 05:05:00.290	2026-04-24 10:11:49.120	3.411764	107	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		None	-1	0
1420	FA_TO_LIVEVOX_IVR_CNSMR_LIST_OB_BD_S2D_NT	2	2	2025-03-01 16:13:33.410	glgaonkar	Modified to use only seq 9	FA_TO	NT	outbound	85	34	34	34	51	85	0	0	1	1	1	2026-03-27 03:55:00.530	2026-04-24 07:55:00.260	39.564705	557	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
829	FA_CLIENTS_ENCOUNTER_LOAD	2	2	2023-12-28 09:41:12.600	rbmakram	UPDATE - SERV_ID_ADD > 0	FA_CLIENTS	NULL	NULL	82	30	30	30	52	77	5	0	1	1	1	2026-03-27 05:06:53.870	2026-04-24 10:04:27.670	39.792682	1215	Tier 4 (daily/weekly)	1	1	0	3	false	false	2	NULL	None	-1	0
683	AlertNotification	2	2	2021-03-23 09:33:50.217	NULL	created via command line	Sterling_Infra	NULL	NULL	81	15	15	15	66	81	0	0	1	1	1	2026-03-27 02:36:13.423	2026-04-24 09:16:36.570	11.777777	33	Tier 4 (daily/weekly)	1	1	0	3	false	false	2	NULL	NULL	-1	-1
1289	FA_FROM_REVSPRING_IB_BD_PULL	3	3	2025-02-04 09:03:50.323	vxbandekar	Shifted Seq Id 12 to 16	FA_FROM	PULL	inbound	70	28	28	28	42	70	0	0	1	1	1	2026-03-27 05:00:00.597	2026-04-24 10:00:00.117	10.128571	173	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
